Accuracy,Precision,Recall,F1-Score,Model,Sets
0.631604609929078,0.8911764705882352,0.882183908045977,0.8861985472154963,KNeighborsClassifier,xen_data_balanced
0.4981826241134752,1.0,1.0,1.0,SVC,xen_data_balanced
0.6423758865248226,0.80625,0.7816091954022988,0.7898658718330849,DecisionTreeClassifier,xen_data_balanced
0.6021719858156028,0.7308467741935484,0.7193486590038314,0.7235294117647059,MLPClassifier,xen_data_balanced
0.5438386524822695,0.6162162162162163,0.5823754789272031,0.49603729603729607,GaussianNB,xen_data_balanced
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.6900000000000001,0.75,0.8333333333333333,0.7333333333333334,KNeighborsClassifier,glibc_data_balanced
0.4050000000000001,0.375,0.5,0.42857142857142855,SVC,glibc_data_balanced
0.7249999999999999,1.0,1.0,1.0,DecisionTreeClassifier,glibc_data_balanced
0.6849999999999999,0.6666666666666666,0.6666666666666666,0.5,MLPClassifier,glibc_data_balanced
0.75,0.6666666666666666,0.6666666666666666,0.5,GaussianNB,glibc_data_balanced
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.6622222222222223,0.9166666666666667,0.875,0.8831168831168831,KNeighborsClassifier,httpd_data_balanced
0.45555555555555555,1.0,1.0,1.0,SVC,httpd_data_balanced
0.6699999999999999,0.9,0.9,0.888888888888889,DecisionTreeClassifier,httpd_data_balanced
0.5455555555555555,0.8333333333333333,0.8,0.7749999999999999,MLPClassifier,httpd_data_balanced
0.6166666666666667,0.2222222222222222,0.5,0.30769230769230765,GaussianNB,httpd_data_balanced
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.6989625636254172,0.7265680368532955,0.7243937748823742,0.7230354401948428,KNeighborsClassifier,kernel_data_balanced
0.6060530348639922,1.0,1.0,1.0,SVC,kernel_data_balanced
0.65630863116414,0.6776161892571833,0.6765428442952872,0.6764063465897383,DecisionTreeClassifier,kernel_data_balanced
0.6425846970609163,0.665812456173902,0.6426370107151866,0.6316359449631226,MLPClassifier,kernel_data_balanced
0.6007566635652125,0.6142988445378151,0.5763772359863566,0.5407948313424987,GaussianNB,kernel_data_balanced
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.6058413834742108,0.7837843736359669,0.7817673571985785,0.7823639367066597,KNeighborsClassifier,mozilla_data_balanced
0.5529688488298545,0.9982078853046594,0.9979919678714859,0.9980962977144736,SVC,mozilla_data_balanced
0.5967414898510724,0.6252236652236651,0.6253647684262229,0.6252738645674293,DecisionTreeClassifier,mozilla_data_balanced
0.5887693347133575,0.6275424365329728,0.6226560919938748,0.6145875572032671,MLPClassifier,mozilla_data_balanced
0.525110330055776,0.7139043824701194,0.5387810233740719,0.43285607336702225,GaussianNB,mozilla_data_balanced
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.9987158335653392,1.0,1.0,1.0,KNeighborsClassifier,glibc_data
0.9988228140184207,1.0,1.0,1.0,SVC,glibc_data
0.9986088244695661,1.0,1.0,1.0,DecisionTreeClassifier,glibc_data
0.99555903659734,0.4991970021413276,0.5,0.49959817840878645,MLPClassifier,glibc_data
0.9416745147641619,0.5214285714285715,0.9820375335120644,0.5319503812654498,GaussianNB,glibc_data
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.99624056566018,0.4976958525345622,0.49961449498843485,0.4986533282031551,KNeighborsClassifier,httpd_data
0.996087073718507,1.0,1.0,1.0,SVC,httpd_data
0.9956266567477601,0.49769762087490405,0.5,0.4988461538461539,DecisionTreeClassifier,httpd_data
0.9958567769517254,0.49769762087490405,0.5,0.4988461538461539,MLPClassifier,httpd_data
0.9408488080832811,0.5118861742132694,0.6389103058339758,0.5099564528899445,GaussianNB,httpd_data
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.9978593280791562,0.9989509200714508,0.5016835016835017,0.5028306138714653,DecisionTreeClassifier,kernel_data
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.9917973987081163,0.5060012981920649,0.5172079869586618,0.5084095635143759,GaussianNB,kernel_data
Accuracy,Precision,Recall,F1-Score,Model,Sets
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.9726370023419204,0.5021881487862824,0.5157664882605265,0.49989729100362085,GaussianNB,mozilla_data
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.9969063231850116,0.4984016393442623,0.5,0.49919954024875823,DecisionTreeClassifier,mozilla_data
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.9908128346828271,0.5806063522617901,0.5269726247987118,0.5398987463837993,KNeighborsClassifier,xen_data
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.992093285413292,0.49711815561959655,0.5,0.49855491329479773,DecisionTreeClassifier,xen_data
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.992093285413292,0.49711815561959655,0.5,0.49855491329479773,DecisionTreeClassifier,xen_data
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.9820737000233285,0.4971107544141252,0.49871175523349437,0.4979099678456591,GaussianNB,xen_data
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.9920612751700141,0.49711815561959655,0.5,0.49855491329479773,MLPClassifier,xen_data
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.997846569204946,0.9239534995194583,0.7271874878921334,0.7957224907898754,KNeighborsClassifier,kernel_data
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.9969098360655737,0.4984016393442623,0.5,0.49919954024875823,MLPClassifier,mozilla_data
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.9923173571162369,0.9985549132947977,0.75,0.8326097443318861,SVC,xen_data
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.9967669789227166,0.8735766166822868,0.5548863191737955,0.5951046533093667,KNeighborsClassifier,mozilla_data
Accuracy,Precision,Recall,F1-Score,Model,Sets
0.9978557839354284,0.4989473833438477,0.5,0.4994731370872464,MLPClassifier,kernel_data
